atomicnumber;group;period;symbol;elementname;groupname;color;url;excerpt
1;1;1;H;Hidrogen\n1.0078;Source Data\nLoading;#3182bd;https://www.innerdoc.com/periodic-table-of-nlp-tasks/01-bits-to-character-encoding;Text is made of characters, but files are made of bytes. These bytes represent characters according to some encoding (aka character set). Fix or load your data by choosing the right encoding.
3;1;2;Li;Litium\n6.9410;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/02-manual-typewriting;Typing your own text gives you more confidence when testing your code or a demo.
11;1;3;Na;Natrium\n22.990\n;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/03-loading-structured-datafile;Structured data implies ready-to-use data, but you have to interpret it’s scheme.
19;1;4;K;Kalium\n39.098;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/04-generating-a-corpus;A Corpus is a language resource consisting of a structured set of documents and additional information. It incorporates pre-processed documents and their meta-data, which might be the output of other NLP tasks. 
37;1;5;Rb;Rubidium\n85.468;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/05-loading-from-api;An API serves as the interface between different applications. The requestor automatically gets access to data, with the benefit that the source doesn’t have to know how the other system exactly works. 
55;1;6;Cs;Sesium\n132.91;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/06-text-and-file-scraping;The lack of a Corpus or API requires you to scrape your textual data or files from the web. Overcome the challenges of IP-blocking, cookie walls, request headers and js-websites.
87;1;7;Fr;Fransium\n223;Source Data\nLoading;#6baed6;https://www.innerdoc.com/periodic-table-of-nlp-tasks/07-text-extraction-and-ocr;Extracting text and transforming it to qualitative data is challenging when you have the output format (PDF or image) and need to reduce it to the source format of textual data.
4;2;2;Be;Berilium\n9.0122;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/08-manual-annotation;Nobody wants to do the manual labor of tagging. Everybody wants to build language models with annotated training data.
12;2;3;Mg;Magnesium\n24.305;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/09-annotation-with-active-learning;Use an annotation tool that benefits from active learning to enforce a robust annotion process and balanced annotations.
20;2;4;Ca;Kalsium\n40.078;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/10-training-data-provider;Gold data contains the ground truth. Re-use available resources, but be careful that the dataset matches your purpose.
38;2;5;Sr;Stronsium\n87.620;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/11-crowdsourcing-marketplace;Creating training data is a labor-intensive task. Fine-tune the training data definition yourself and then scale-up by outsourcing to remote workers.
56;2;6;Ba;Barium\n137.33;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/12-textual-data-augmentation;Boost your performance by creating data out of data, instead of new data. 
88;2;7;Ra;Radium\226;Training Data\nGeneration;#9ecae1;https://www.innerdoc.com/periodic-table-of-nlp-tasks/13-rulebased-training-data;Programmatically build training datasets by defining heuristic rules which are used in functions for labeling training data.

21;3;4;Sc;Skandium\n44.956;Word\nParsing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/15-vocabulary-building;The goal of tokenization is a vocabulary. Word-based tokenizers have larger vocabularies with more Out-Of-Vocabulary (OOV) words than sub-word vocabularies.
39;3;5;Y;Itrium\n188.906;Word\nParsing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/16-morphological-tagger;Assigning additional morphological information clarifies the grammatical meaning of a word, additionally to the syntax. 
57;3;6;La;Laktanum\n138.91;Word\nParsing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/17-part-of-speech-tagger;The syntactic function of a word, like Noun or Verb, is defined by the Part-of-Speech (POS tags) and is based on the context.
89;3;7;Ac;Aktinium\n227;Word\nParsing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/18-dependency-parser;A Dependency Parser extracts a dependency graph from a sentence. In the graph the grammatical structure, like subject and object, and relationships between words represented by Dependency tags.

22;4;4;Ti;Titanium\n47.867;Word\nProcessing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/20-lemmatization;Lemmatization usually refers to rewriting a word to its base form (lemma) properly.
40;4;5;Zr;Zirkonium\n91.224;Word\nProcessing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/21-normalization;Besides Stemming or Lemmatizing, there still might be a need to edit words to move to more default words.
72;4;6;Hf;Hafnium\n178.49;Word\nProcessing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/22-spell-checker;Spell Checkers can recommend corrections on the word level.
104;4;7;Rf;Ruterfordium\n267;Word\nProcessing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/23-negation-recognizer;Ignoring the meaning of a negation will flip the polarity of your text.

58;4;8;Ce;Serium\n140.12;Word\nProcessing;#fd8d3c;https://www.innerdoc.com/periodic-table-of-nlp-tasks/24-negation-recognizer;Ignoring the meaning of a negation will flip the polarity of your text.

23;5;4;V;Vanadium\n50.942;Phrases and\nEntities;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/25-rulebased-phrasematcher;Finite size lookup tables might inspire your to build rulebased searches, especially when semantic info like lemma’s and POS- and Dependency tags can be used in the search pattern.
41;5;5;Nb;Niobium\n92.206;Phrases and\nEntities;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/26-dependency-nounchunks;Breaking text into verb- or noun-phrases result into semantically correct subphrases of a sentence that are deducted from the dependency structure.
73;5;6;Ta;Tantalum\n180.95;Phrases and\nEntities;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/27-named-entity-recognition;Identifying named entities is the task of assigning a NER category, like Persons, Locations or Organizations, to words in a sentence. 
105;5;7;Db;Dubnium\n262;Phrases and\nEntities;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/28-abbreviation-finder;Abbreviations are an efficient way of writing, but it lowers text comprehension. To solve this, identify the long-form to enrich the short-form.


24;6;4;Cr;Kromium\n51.996;Entity\nEnriching;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/31-temporal-parser;Finding strings that contains an indication of time and then extracting a normalized time format out of it. 
42;6;5;Mo;Molibdenum\n95.950;Entity\nEnriching;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/32-named-entity-linking;Assigning a unique identity from a knowledge base to a named entity. 
74;6;6;W;Wolfram\n183.84;Entity\nEnriching;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/33-coreference-resolution;Finding all expressions that refer to the same entity in a text. You can compare this to Named Entity Linking, but it doesn’t necessarily use a knowledge base.
106;6;7;Sg;Seaborgium\n269;Entity\nEnriching;#fdae6b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/34-text-anonymizer;Removing sensitive information before a document is shared with others. Deidentification and obfuscation of persons and organizations relies on Named Entity Recognition.
25;7;4;Mn;Mangan\n54.938;Sentences and\nParagraphs;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/35-sentencizer;Finding the words that together form a sentence, or from another viewpoint, detecting sentence boundaries.
43;7;5;Tc;Teknisium\n98;Sentences and\nParagraphs;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/36-paragraph-segmentation;Splitting text into paragraphs requires more custom logic. A paragraph might contain a more comprehensive meaning than a sentence.
75;7;6;Re;Renium\n186.21;Sentences and\nParagraphs;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/37-grammar-checker;Improving the grammar on a sentence level.
107;7;7;Bh;Bohrium\n264;Sentences and\nParagraphs;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/38-readability-scoring;Measuring the readability of a text by looking at the keyword density, syllable count and the average length of sentences and words in a document.
26;8;4;Fe;Besi\n55.845;Documents;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/39-deduplication;Finding texts that are exactly the same or show a high similarity. Similarity can be measured on lexicality or semantic meaning from embeddings.
44;8;5;Ru;Rutenium\n101.07;Documents;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/40-raw-text-cleaning;Pre-processing text with the goal to increase the quality of subsequent NLP tasks.
76;8;6;Os;Osmium\n190.23;Documents;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/41-meta-info-extractor;Extracting text from a file should be accompanied with the extraction of meta-information.
108;8;7;Hs;Hasium\n269;Documents;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/42-language-identification;Identifying the language of a text is often done before you select the right language model.

27;9;4;Co;Kobalt\n58.933;Model\nDevelopment;#31a354;https://www.innerdoc.com/periodic-table-of-nlp-tasks/44-evaluating-models;Evaluating the quality of a Language Model should be done by comparisons based on the right metrics for your model type.
45;9;5;Rh;Rodium\n102.91;Model\nDevelopment;#31a354;https://www.innerdoc.com/periodic-table-of-nlp-tasks/45-explaining-models;Explaining the outcomes of your Language Model is needed to prevent distrust and increase transparency. 
77;9;6;Ir;Iridium\n192.22;Model\nDevelopment;#31a354;https://www.innerdoc.com/periodic-table-of-nlp-tasks/46-deploying-models;Deploying your Language Model might be a recurrent building block fro DevOps in a larger pipeline. 
109;9;7;Mt;Meitnerium\n278;Model\nDevelopment;#31a354;https://www.innerdoc.com/periodic-table-of-nlp-tasks/47-monitoring-models;Monitoring your Language Model might give you the feedback to further improve on performance and usage.

28;10;4;Ni;Nikel\n58.693;Supervised\nClassification;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/49-sentiment-and-emotion-detection;Detecting the overall attitude expressed within a text in an imperative need to standardize the measurement of human sentiment and affective meaning.
46;10;5;Pd;Paladium\n106.42;Supervised\nClassification;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/50-intent-classification;Understanding the user’s intent and giving the correct responses. 
78;10;6;Pt;Platina\n195.08;Supervised\nClassification;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/51-text-classification;Assigning tags or categories to text according to its content. It is the broader task where Intent, Sentiment and Spam classification are part of.
110;10;7;Ds;Darmstadium\n281\nClassification;Supervised\nClassification;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/52-multi-label-multi-class-classification;A specific sub-solution of Text Classification is Multi-Label Multi-Class Text Classification.

29;11;4;Cu;Tembaga\n63.546;Unsupervised\nSignaling;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/54-extractive-summarization;Extracting the most relevant sentences from a text works in the same way as Keyword extraction.
47;11;5;Ag;Perak\n107.87;Unsupervised\nSignaling;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/55-topic-modeling;Dividing a set of vectorized documents into N unsupervised topics by determining how similar vectors for a specific topic should be, and how many topics should be distinguished.
79;11;6;Au;Emas\n196.97;Unsupervised\nSignaling;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/56-trend-detection;Quantifying the deviation of the occurrence of words beyond the expected variability, and defining above what threshold you call this a trend. 
